,N,E_formation,Ti_dopant_Ti_angle_min,Ti_dopant_Ti_angle_max,Ti_dopant_Ti_angle_mean,Ti_dopant_Ti_angle_std,dopant_Ti_distance_min,dopant_Ti_distance_max,dopant_Ti_distance_mean,dopant_Ti_distance_std,dopant_dopant_distance_min,CN_4Å_min,CN_4Å_max,CN_4Å_mean,CN_4Å_std,q_dopant_min,q_dopant_max,q_dopant_mean,q_dopant_std,q_Ti_min,q_Ti_max,q_Ti_mean,q_Ti_std,d_band_center_dopant,WF_dopant_face,WF_O_face,E_fermi,E_vacuum_dopant_face,E_vacuum_O_face,Spit,Included_from_stage
Configuration-1,1,5.6898,74.0866,74.0866,74.0866,0.0000,2.7069,2.7069,2.7069,0.0000,18.1656,0,0,0.0000,0.0000,-1.2665,-1.2665,-1.2665,0.0000,1.8138,1.8138,1.8138,0.0000,-4.3190,4.7723,5.0300,-1.9481,2.8242,3.0819,test,not used for training
Configuration-3,29,5.3654,63.9333,66.3807,65.4266,0.5603,2.6610,2.9300,2.8051,0.0447,2.8192,3,5,3.5862,0.6168,-1.4095,-1.3404,-1.3731,0.0178,1.5980,1.6884,1.6196,0.0160,-4.9940,3.5908,5.1776,-1.0013,2.5895,4.1763,train,2
Configuration-5,2,5.7694,73.7416,73.7416,73.7416,0.0000,2.7005,2.7018,2.7012,0.0007,8.1344,0,0,0.0000,0.0000,-1.2039,-1.2037,-1.2038,0.0001,1.7070,1.8795,1.7933,0.0861,-4.0410,4.5714,5.0339,-1.8600,2.7114,3.1739,train,1
Configuration-8,4,5.6539,67.9859,73.5674,70.4289,2.4123,2.6953,2.8630,2.7500,0.0565,2.8405,0,2,1.0000,0.7071,-1.3025,-1.1990,-1.2421,0.0395,1.6356,1.8820,1.7437,0.0916,-4.4020,4.4586,5.0464,-1.7862,2.6724,3.2602,train,2
Configuration-14,7,5.7013,67.8053,72.3207,69.4515,1.6373,2.6915,2.8574,2.7580,0.0409,2.8477,1,2,1.1429,0.3499,-1.3331,-1.2122,-1.2646,0.0381,1.6365,1.8855,1.7655,0.0867,-4.4920,4.4073,5.1345,-1.7658,2.6415,3.3687,train,3
Configuration-26,13,5.5364,61.9337,71.9342,66.3865,2.6528,2.6267,3.0316,2.8237,0.1176,2.7869,1,5,2.4615,1.2163,-1.4140,-1.2267,-1.2824,0.0501,1.6104,1.8805,1.6975,0.0870,-4.8100,4.0931,5.2194,-1.5660,2.5271,3.6534,test,not used for training
Configuration-32,16,5.4499,63.2239,67.6098,65.7857,1.4131,2.6544,3.0242,2.8184,0.1087,2.8014,1,4,2.5000,0.8660,-1.3662,-1.2281,-1.3130,0.0391,1.5998,1.8356,1.6574,0.0624,-4.7180,3.9988,5.2123,-1.4672,2.5316,3.7451,train,3
Configuration-39,18,5.8238,61.1882,79.3393,65.7902,3.6105,2.6754,3.1085,2.8428,0.1032,2.7388,2,5,3.3684,0.8712,-1.4072,-1.2337,-1.3186,0.0387,1.5344,1.8210,1.6361,0.0624,-4.8900,3.9724,5.5649,-1.6123,2.3601,3.9526,train,1
Configuration-49,24,5.3597,62.0999,78.9722,66.8398,4.8302,2.6723,3.1410,2.8597,0.1036,2.7516,2,6,3.9167,1.2219,-1.4157,-1.2509,-1.3342,0.0373,1.5157,1.8484,1.6096,0.0532,-4.8910,3.8164,5.2930,-1.2443,2.5721,4.0487,train,3
Configuration-57,28,5.3534,63.9061,65.6841,64.9969,0.4924,2.6794,3.0481,2.8236,0.0699,2.7999,3,6,3.5714,0.8631,-1.3956,-1.3296,-1.3663,0.0162,1.5789,1.6852,1.6057,0.0232,-4.9650,3.4929,5.1049,-0.9520,2.5409,4.1529,test,not used for training
Configuration-n1,9,5.7455,63.1823,74.8010,69.6465,5.3778,2.7318,2.8413,2.7729,0.0465,2.7704,1,2,1.7778,0.4157,-1.3540,-1.2422,-1.2849,0.0300,1.7161,1.9209,1.8087,0.0736,-4.5920,4.4945,5.5841,-2.0603,2.4342,3.5238,train,1
Configuration-n2,10,5.7515,67.3930,74.1438,69.7933,2.0146,2.6980,2.8445,2.7489,0.0329,2.8350,0,2,1.0000,0.4472,-1.3292,-1.2111,-1.2559,0.0303,1.6235,1.8945,1.7745,0.0920,-4.5480,4.3374,5.7005,-2.0614,2.2760,3.6391,test,not used for training
Configuration-n3,22,5.4335,60.5144,69.6533,65.5525,1.6937,2.6670,2.9952,2.8166,0.1012,2.8291,2,4,2.8182,0.5750,-1.3716,-1.2894,-1.3246,0.0219,1.5814,1.8189,1.6347,0.0507,-4.8550,3.6668,5.4571,-1.3803,2.2865,4.0768,test,not used for training
Configuration-n4,5,5.8457,73.5878,73.6881,73.6448,0.0469,2.7012,2.7029,2.7020,0.0006,7.1298,0,0,0.0000,0.0000,-1.2786,-1.2031,-1.2185,0.0300,1.6970,1.8769,1.7928,0.0795,-4.2430,4.8681,5.7370,-2.3820,2.4861,3.3550,train,2
