,N_dopant,E_formation,Ti_dopant_Ti_angle_min,Ti_dopant_Ti_angle_max,Ti_dopant_Ti_angle_mean,Ti_dopant_Ti_angle_std,dopant_Ti_distance_min,dopant_Ti_distance_max,dopant_Ti_distance_mean,dopant_Ti_distance_std,dopant_dopant_distance_min,CN_4Å_min,CN_4Å_max,CN_4Å_mean,CN_4Å_std,q_dopant_min,q_dopant_max,q_dopant_mean,q_dopant_std,q_Ti_min,q_Ti_max,q_Ti_mean,q_Ti_std,d_band_center_all,d_band_center_dopant,WF_dopant_face,WF_O_face,E_fermi,E_vacuum_dopant_face,E_vacuum_O_face
Configuration_1,1,4.8137,83.2517,83.2517,83.2517,0.0000,2.3489,2.3489,2.3489,0.0000,18.1656,0,0,0.0000,0.0000,-0.6134,-0.6134,-0.6134,0,1.9218,1.9218,1.9128,0,-3.953,-1.775,6.7507,6.8878,-3.8498,2.9009,3.0380
Configuration_4,2,4.9312,82.6092,82.6092,82.6092,0.0000,2.3415,2.3484,2.3450,0.0035,3.7653,0,0,0.0000,0.0000,-0.6053,-0.6053,-0.6053,0.0000,1.9121,1.9134,1.9127,0.0006,-3.595,-1.795,6.6047,6.8734,-3.7658,2.8389,3.1076
Configuration_5,2,4.9072,83.2690,83.2690,83.2690,0.0000,2.3494,2.3497,2.3496,0.0002,8.1118,0,0,0.0000,0.0000,-0.6048,-0.6018,-0.6033,0.0015,1.9119,1.9173,1.9148,0.0019,-3.813,-1.774,6.6302,6.896,-3.7898,2.8404,3.1062
Configuration_6,3,4.8239,79.2985,81.6993,80.8990,1.3861,2.3476,2.3840,2.3626,0.0170,2.9836,1,2,1.3333,0.4714,-0.6515,-0.6235,-0.6422,0.0132,1.8255,1.8937,1.8482,0.0321,-4.479,-2.468,5.8084,6.0916,-2.9556,2.8528,3.1360
Configuration_7,3,4.9511,82.6923,83.2797,82.8900,0.3375,2.3458,2.3491,2.3470,0.0017,7.5308,0,0,0.0000,0.0000,-0.6146,-0.6178,-0.6141,0.0016,1.9189,1.9244,1.9212,0.0024,-3.710,-1.795,6.4961,6.8942,-3.7177,2.7784,3.1765
Configuration_8,4,4.8577,81.3240,83.4031,82.3511,1.1352,2.3476,2.4017,2.3681,0.0184,2.8332,0,2,1.0000,0.7071,-0.6476,-0.6125,-0.6349,0.0135,1.8337,1.9214,1.8932,0.0347,-4.669,-2.842,5.4321,5.8171,-2.6195,2.8126,3.1976
Configuration_9,4,4.9748,82.5412,83.1987,82.8472,0.3552,2.3421,2.3489,2.3468,0.0029,6.0898,0,0,0.0000,0.0000,-0.6143,-0.6113,-0.6121,0.0013,1.9132,1.9207,1.9164,0.0028,-3.611,-1.801,6.3777,6.8937,-3.6517,2.7260,3.2420
Configuration_10,5,4.7825,78.8441,81.6849,80.9254,1.2044,2.3369,2.4241,2.3822,0.0251,2.8426,1,3,2.0000,0.6325,-0.6798,-0.6222,-0.6489,0.0249,1.8041,1.9091,1.8536,0.0424,-4.843,-3.071,5.1602,5.5128,-2.3015,2.8587,3.2113
Configuration_11,5,5.0047,82.0059,82.6287,82.2588,0.3377,2.3422,2.3499,2.3443,0.0031,6.0522,0,0,0.0000,0.0000,-0.6145,-0.6074,-0.6113,0.0032,1.9081,1.9171,1.9107,0.0032,-3.543,-1.824,6.2318,6.8709,-3.5617,2.6701,3.3092
Configuration_12,6,4.9054,81.3343,81.3343,81.3343,0.0000,2.3686,2.3686,2.3686,0.0000,2.8608,1,1,1.0000,0.0000,-0.6490,-0.6008,-0.6249,0.0241,1.9060,1.9072,1.9066,0.0006,-4.449,-2.849,5.3136,5.8704,-2.5595,2.7541,3.3109
Configuration_13,6,4.9576,82.4039,83.1864,82.7403,0.3534,2.3418,2.3766,2.3552,0.0142,2.8684,0,1,0.3333,0.4714,-0.6623,-0.6014,-0.6151,0.0212,1.9046,1.9182,1.9132,0.0043,-4.394,-2.778,5.2536,5.9312,-2.5835,2.6701,3.3477
Configuration_14,7,4.8650,80.0385,83.3306,81.9328,1.1464,2.3502,2.3925,2.3749,0.0112,2.8375,1,2,1.1429,0.3499,-0.6768,-0.6048,-0.6380,0.0250,1.8195,1.9267,1.8999,0.0336,-4.489,-2.959,5.1348,5.745,-2.3915,2.7433,3.3535
Configuration_15,7,4.8579,79.3013,84.0549,81.7664,1.9247,2.3414,2.4232,2.3785,0.0309,2.8523,0,2,1.1429,0.8330,-0.7073,-0.5954,-0.6423,0.0356,1.8188,1.9339,1.8920,0.0449,-4.490,-2.945,5.1112,5.7373,-2.3795,2.7317,3.3578
Configuration_16,8,4.8320,78.7213,83.1408,81.3368,1.5448,2.3415,2.4245,2.3881,0.0244,2.8148,0,3,1.7500,1.0897,-0.6939,-0.6010,-0.6412,0.0294,1.8281,1.9242,1.8915,0.0356,-4.499,-3.048,5.0368,5.6548,-2.2715,2.7653,3.3833
Configuration_17,8,4.8311,79.7135,83.8633,81.4964,1.5218,2.3698,2.4207,2.3924,0.0150,2.8590,1,2,1.5000,0.5000,-0.6781,-0.6052,-0.6458,0.0312,1.8173,1.9315,1.9029,0.0338,-4.380,-2.940,5.1666,5.784,-2.3975,2.7691,3.3865
Configuration_18,9,4.8462,78.5646,83.2467,81.7340,1.4534,2.3634,2.4005,2.3781,0.0104,2.8255,1,2,1.3333,0.4714,-0.6613,-0.5985,-0.6424,-0.0200,1.818,1.9264,1.8934,0.0375,-4.413,-3.020,4.9552,5.6782,-2.2354,2.7198,3.4428
Configuration_19,9,4.7881,77.1801,82.7651,79.9211,2.0139,2.3349,2.4727,2.3993,0.0402,2.8051,0,4,2.0000,1.2472,-0.6914,-0.6062,-0.6503,0.0288,1.8177,1.9296,1.8722,0.0415,-4.510,-3.108,4.9443,5.5519,-2.1454,2.7989,3.4065
Configuration_20,10,4.9142,81.0859,83.5751,82.2192,0.8124,2.3427,2.3824,2.3606,0.0100,2.8625,1,3,1.6000,0.6633,-0.6652,-0.6197,-0.6367,0.0136,1.8298,1.9207,1.8953,0.0320,-4.106,-2.759,4.9889,5.8497,-2.3975,2.5914,3.4522
Configuration_21,10,4.8871,80.1087,83.3883,81.4043,1.0469,2.3439,2.3976,2.3760,0.0173,2.8170,1,2,1.2000,0.4000,-0.6790,-0.5738,-0.6390,0.0319,1.8261,1.9266,1.8956,0.0335,-4.211,-2.884,4.9966,5.8253,-2.3195,2.6771,3.5058
Configuration_22,11,4.8073,77.6935,83.5190,81.0499,1.8796,2.3476,2.4398,2.3868,0.0259,2.7984,0,4,1.8182,1.1134,-0.6778,-0.6157,-0.6495,0.0211,1.8139,1.9227,1.8787,0.0448,-4.488,-3.205,4.7011,5.4673,-1.9594,2.7417,3.5079
Configuration_23,11,4.7738,74.4083,82.1248,79.4641,2.3269,2.3463,2.4704,2.4006,0.0288,2.7484,1,4,2.1818,1.0285,-0.6970,-0.5887,-0.6512,0.0292,1.8088,1.9188,1.8678,0.0431,-4.478,-3.213,4.8015,5.4634,-1.9834,2.8181,3.4800
Configuration_24,12,4.8085,78.5571,83.5710,80.7038,1.5266,2.3305,2.4254,2.3867,0.0200,2.7832,1,2,1.6667,0.4714,-0.6921,-0.5922,-0.6532,0.0323,1.8077,1.9303,1.8719,0.0458,-4.313,-3.078,4.7654,5.5862,-2.0314,2.7340,3.5548
Configuration_25,12,4.8118,78.1800,83.3997,80.6217,1.7303,2.3251,2.4414,2.3786,0.0295,2.7797,1,3,1.6667,0.6236,-0.7067,-0.6294,-0.6567,0.0229,1.8153,1.9247,1.8575,0.0460,-4.325,-3.058,4.7037,5.5518,-1.9954,2.7083,3.5564
Configuration_26,13,4.8033,76.7037,84.0355,80.3101,1.9424,2.3181,2.4634,2.3895,0.0322,2.7729,1,3,1.8462,0.6617,-0.7017,-0.6154,-0.6529,0.0265,1.8092,1.9334,1.8677,0.0454,-4.308,-3.120,4.6697,5.5292,-1.9354,2.7343,3.5938
Configuration_27,13,4.8322,76.6399,83.4530,80.5886,2.2602,2.3186,2.4669,2.3837,0.0362,2.7828,0,4,1.6923,1.2016,-0.6948,-0.5973,-0.6461,0.0256,1.8084,1.9225,1.8749,0.0462,-4.450,-3.265,4.4701,5.3894,-1.7794,2.6907,3.6100
Configuration_28,14,4.7667,76.2901,82.7998,79.2057,1.8936,2.3367,2.4462,2.3961,0.0288,2.7532,1,3,2.2857,0.6999,-0.7273,-0.5455,-0.6598,0.0429,1.8060,1.9219,1.8649,0.0429,-4.358,-3.217,4.579,5.4177,-1.8034,2.7756,3.6143
Configuration_29,14,4.7480,72.0314,83.0689,78.9350,3.2528,2.3315,2.5060,2.4132,0.0477,2.7214,1,5,2.4286,1.2372,-0.7171,-0.6145,-0.6549,0.0301,1.7764,1.9344,1.8529,0.0527,-4.293,-3.177,4.6737,5.4951,-1.8814,2.7923,3.6137
Configuration_30,15,4.8055,7.7078,83.2900,79.8800,2.0029,2.3182,2.4762,2.3896,0.0396,2.7704,1,3,2.0000,0.8944,-0.6924,-0.6066,-0.6520,-0.2630,1.8097,1.9189,1.8603,0.0402,-4.355,-3.247,4.4435,5.3608,-1.7013,2.7422,3.6595
Configuration_31,15,4.7652,77.5645,82.8130,79.6764,1.7000,2.3304,2.4561,2.3965,0.0328,2.7759,1,3,2.1333,0.6182,-0.6939,-0.6028,-0.6559,0.0280,1.8051,1.9234,1.8532,0.0459,-4.370,-3.255,4.4862,5.3319,-1.6953,2.7909,3.6366
Configuration_32,16,4.7675,77.0875,82.2452,79.4552,1.5497,2.3299,2.4513,2.3942,0.0347,2.7766,1,3,2.1250,0.5995,-0.7058,-0.6296,-0.6614,0.0194,1.8059,1.9210,1.8466,0.0428,-4.364,-3.277,4.3629,5.2722,-1.5929,2.7700,3.6793
Configuration_33,16,4.7104,74.6083,82.2736,78.6872,2.4388,2.3679,2.4416,2.4074,0.0222,2.7701,1,3,2.5000,0.8860,-0.7184,-0.5979,-0.6554,0.0342,1.7728,1.9197,1.8312,0.0499,-4.380,-3.302,4.4741,5.2508,-1.6089,2.8652,3.6419
Configuration_34,17,4.7862,76.0362,82.1283,79.5822,1.7044,2.3231,2.4737,2.3924,0.0336,2.7668,0,3,2.0000,0.7670,-0.7004,-0.6079,-0.6573,0.0263,1.8080,1.9182,1.8572,0.0427,-4.288,-3.264,4.3449,5.3482,-1.6053,2.7396,3.7429
Configuration_35,17,4.8577,75.5193,82.5878,80.0023,2.0412,2.3210,2.4576,2.3829,0.0342,2.7426,0,4,1.6471,1.2339,-0.6852,-0.6095,-0.6501,0.0212,1.8066,1.9190,1.8706,0.0439,-4.173,-3.165,4.344,5.5054,-1.7073,2.6367,3.7981
Configuration_36,18,4.7274,77.4960,81.7970,79.1836,1.3383,2.3286,2.4345,2.3976,0.0289,2.7619,1,3,2.3333,0.5774,-0.6873,-0.6295,-0.6602,0.0143,1.7764,1.9167,1.8350,0.0393,-4.291,-3.280,4.3326,5.2514,-1.5196,2.8130,3.7318
Configuration_37,18,4.8381,77.1648,81.7452,79.9599,1.4412,2.3408,2.4480,2.3831,0.0280,2.7647,0,3,1.6667,0.7454,-0.6935,-0.6106,-0.6527,0.0188,1.8190,1.9181,1.8688,0.0398,-4.190,-3.212,4.3003,5.4481,-1.6293,2.6710,3.8188
Configuration_38,19,4.7055,69.2462,84.7990,77.5185,4.1355,2.3213,2.5158,2.4304,0.0508,2.7339,1,5,2.7368,0.9648,-0.7062,-0.5859,-0.6507,0.0351,1.5955,1.9251,1.8247,0.0723,-4.047,-3.120,4.5885,5.4824,-1.7135,2.8750,3.7689
Configuration_39,19,4.7268,72.8442,81.6262,78.5699,2.3149,2.3231,2.4835,2.4104,0.0416,2.7232,1,5,2.7368,0.9086,-0.7090,-0.5793,-0.6575,0.0272,1.7728,1.9196,1.8383,0.0410,-4.189,-3.238,4.43,5.3248,-1.5681,2.8619,3.7567
Configuration_40,20,4.7415,75.7212,81.5076,78.7216,1.4842,2.3263,2.4704,2.3987,0.0359,2.7598,1,4,2.5000,0.8660,-0.7002,-0.6244,-0.6637,0.0166,1.8043,1.9095,1.8367,0.0356,-4.121,-3.268,4.2134,5.2536,-1.4292,2.7842,3.8244
Configuration_41,20,4.7805,76.5599,82.1079,79.1228,1.7136,2.3207,2.4577,2.3976,0.0368,2.7397,0,4,2.2000,0.9274,-0.6955,-0.6254,-0.6562,0.0194,1.7994,1.9268,1.8529,0.0428,-4.217,-3.296,4.221,5.2871,-1.4474,2.7736,3.8397
Configuration_42,21,4.6564,68.0567,82.7680,77.1125,3.3055,2.3575,2.5091,2.4330,0.0363,2.7513,2,6,3.6190,0.8438,-0.6778,-0.5457,-0.6541,0.0277,1.6490,1.9090,1.8079,0.0541,-4.070,-3.178,4.5057,5.3225,-1.5351,2.9706,3.7874
Configuration_43,21,4.7095,69.5102,83.7591,77.7454,4.1376,2.3241,2.5686,2.4260,0.0517,2.7027,1,5,2.8571,1.0367,-0.6890,-0.5970,-0.6542,0.0223,1.7123,1.9292,1.8261,0.0593,-3.998,-3.123,4.481,5.4404,-1.6046,2.8764,3.8358
Configuration_44,22,4.7140,67.9930,81.9806,78.0117,3.5371,2.3499,2.5191,2.4158,0.0466,2.6995,2,4,2.5455,0.6556,-0.7058,-0.5915,-0.6558,0.0272,1.5854,1.9095,1.8216,0.0643,-3.985,-3.129,4.3913,5.4342,-1.5469,2.8444,3.8873
Configuration_45,22,4.7391,74.5201,81.0131,78.4985,1.7070,2.3503,2.4609,2.4064,0.0315,2.7666,2,4,2.6364,0.6428,-0.7018,-0.6332,-0.6631,0.0178,1.7918,1.9254,1.8447,0.0439,-4.098,-3.246,4.2793,5.3541,-1.4493,2.8300,3.9048
Configuration_46,23,4.6849,69.2627,82.4074,77.4774,3.2775,2.3211,2.5240,2.4309,0.0461,2.7054,1,5,3.2174,0.9305,-0.7120,-0.5839,-0.6539,0.0237,1.6400,1.9146,1.8188,0.0580,-3.971,-3.151,4.4736,5.3855,-1.5129,2.9607,3.8726
Configuration_47,23,4.6820,67.3150,83.8953,77.5146,3.8924,2.3329,2.5459,2.4280,0.0528,2.7253,1,5,2.9565,0.9991,-0.7177,-0.5793,-0.6519,0.0364,1.6714,1.9140,1.8154,0.0542,-3.917,-3.112,4.4702,5.4835,-1.5722,2.8980,3.9113
